Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary
Kung Fu Panda 2,(2011),90,"['Animation', 'Action', 'Adventure']",7.2,665692281,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Moana,(I) (2016),107,"['Animation', 'Adventure', 'Comedy']",7.6,665069139,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Justice League,(2017),120,"['Action', 'Adventure', 'Fantasy']",6.1,657926987,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Big Hero 6,(2014),102,"['Animation', 'Action', 'Adventure']",7.8,657869686,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Fantastic Beasts: The Crimes of Grindelwald,(2018),134,"['Adventure', 'Family', 'Fantasy']",6.5,654855901,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143,"['Action', 'Adventure', 'Fantasy']",8.1,654264015,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Men in Black 3,(2012),106,"['Action', 'Adventure', 'Comedy']",6.8,654213485,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode II - Attack of the Clones,(2002),142,"['Action', 'Adventure', 'Fantasy']",6.6,653779970,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Hunger Games: Mockingjay - Part 2,(2015),137,"['Action', 'Adventure', 'Sci-Fi']",6.5,653428261,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Thor: The Dark World,(2013),112,"['Action', 'Adventure', 'Fantasy']",6.8,644783140,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Sing,(2016),108,"['Animation', 'Comedy', 'Family']",7.1,634338384,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0

Kung Fu Panda,(2008),92,"['Animation', 'Action', 'Adventure']",7.6,632083197,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Incredibles,(2004),115,"['Animation', 'Action', 'Adventure']",8,631607053,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Martian,(2015),144,"['Adventure', 'Drama', 'Sci-Fi']",8,630620818,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Hancock,(2008),92,"['Action', 'Comedy', 'Drama']",6.4,629443428,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Chang jin hu zhi shui men qiao,(2022),153,"['Action', 'Drama', 'History']",5.5,626571697,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0

Fast Five,(2011),130,"['Action', 'Crime', 'Thriller']",7.3,626137675,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0

Iron Man 2,(2010),124,"['Action', 'Sci-Fi']",6.9,623933331,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Ratatouille,(2007),111,"['Animation', 'Adventure', 'Comedy']",8.1,623726085,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Ant-Man and the Wasp,(2018),118,"['Action', 'Adventure', 'Comedy']",7,622674139,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

How to Train Your Dragon 2,(2014),102,"['Animation', 'Action', 'Adventure']",7.8,621537519,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Logan,(2017),137,"['Action', 'Drama', 'Sci-Fi']",8.1,619179950,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Lost World: Jurassic Park,(1997),129,"['Action', 'Adventure', 'Sci-Fi']",6.5,618638999,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Casino Royale,(2006),144,"['Action', 'Adventure', 'Thriller']",8,616505162,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

The Passion of the Christ,(2004),127,['Drama'],7.2,612054506,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Life of Pi,(2012),127,"['Adventure', 'Drama', 'Fantasy']",7.9,609016565,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Transformers: The Last Knight,(2017),154,"['Action', 'Adventure', 'Sci-Fi']",5.2,605425157,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Madagascar: Escape 2 Africa,(2008),89,"['Animation', 'Adventure', 'Comedy']",6.6,603900354,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

War of the Worlds,(2005),116,"['Action', 'Adventure', 'Sci-Fi']",6.5,603873119,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Tangled,(2010),100,"['Animation', 'Adventure', 'Comedy']",7.7,592462816,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Ready Player One,(2018),140,"['Action', 'Adventure', 'Sci-Fi']",7.4,592241728,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Quantum of Solace,(2008),106,"['Action', 'Adventure', 'Mystery']",6.6,589580482,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0

Men in Black,(1997),98,"['Action', 'Adventure', 'Comedy']",7.3,589390539,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Croods,(2013),98,"['Animation', 'Action', 'Adventure']",7.2,587235983,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Hangover Part II,(2011),102,['Comedy'],6.5,586764305,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Iron Man,(2008),126,"['Action', 'Adventure', 'Sci-Fi']",7.9,585796247,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

I Am Legend,(2007),101,"['Action', 'Drama', 'Horror']",7.2,585410052,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0

"Monsters, Inc.",(2001),92,"['Animation', 'Adventure', 'Comedy']",8.1,579707738,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Hong hai xing dong,(2018),142,"['Action', 'Drama', 'Thriller']",6.6,579330426,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Night at the Museum,(2006),108,"['Adventure', 'Comedy', 'Family']",6.4,574481229,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0

Fifty Shades of Grey,(2015),125,"['Drama', 'Romance', 'Thriller']",4.2,569651467,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Kong: Skull Island,(2017),118,"['Action', 'Adventure', 'Fantasy']",6.6,566652812,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Smurfs,(2011),103,"['Animation', 'Adventure', 'Comedy']",5.4,563749323,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Cars 2,(2011),106,"['Animation', 'Adventure', 'Comedy']",6.2,559852396,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

King Kong,(2005),187,"['Action', 'Adventure', 'Drama']",7.2,556906378,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Puss in Boots,(2011),90,"['Animation', 'Adventure', 'Comedy']",6.6,554987477,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Mei ren yu,(2016),94,"['Comedy', 'Drama', 'Fantasy']",6.2,553810228,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Armageddon,(1998),151,"['Action', 'Adventure', 'Sci-Fi']",6.7,553709788,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Day After Tomorrow,(2004),124,"['Action', 'Adventure', 'Sci-Fi']",6.4,552639571,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Ted,(2012),106,['Comedy'],6.9,549368315,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

American Sniper,(2014),133,"['Action', 'Biography', 'Drama']",7.3,547459020,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0

Mission: Impossible II,(2000),123,"['Action', 'Adventure', 'Thriller']",6.1,546388108,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Tang ren jie tan an 2,(2018),121,"['Action', 'Comedy', 'Mystery']",6.1,544185156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0

X-Men: Apocalypse,(2016),144,"['Action', 'Adventure', 'Sci-Fi']",6.9,543934105,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Sherlock Holmes: A Game of Shadows,(2011),129,"['Action', 'Adventure', 'Mystery']",7.4,543848418,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0

Despicable Me,(2010),95,"['Animation', 'Adventure', 'Comedy']",7.6,543157985,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Cinderella,(I) (2015),105,"['Adventure', 'Drama', 'Family']",6.9,542358331,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Madagascar,(2005),86,"['Animation', 'Adventure', 'Comedy']",6.9,542063846,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

World War Z,(2013),116,"['Action', 'Adventure', 'Horror']",7,540455876,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0

Brave,(2012),93,"['Animation', 'Adventure', 'Comedy']",7.1,538983207,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Empire Strikes Back,(1980),124,"['Action', 'Adventure', 'Fantasy']",8.7,538375067,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Simpsons Movie,(2007),87,"['Animation', 'Adventure', 'Comedy']",7.3,536414293,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Revenant,(2015),156,"['Action', 'Adventure', 'Drama']",8,532950503,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Meg,(2018),113,"['Action', 'Horror', 'Sci-Fi']",5.6,530517320,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0

Ralph Breaks the Internet,(2018),112,"['Animation', 'Adventure', 'Comedy']",7,529323962,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Hotel Transylvania 3: Summer Vacation,(2018),97,"['Animation', 'Adventure', 'Comedy']",6.3,528583774,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Boss Baby,(2017),97,"['Animation', 'Adventure', 'Comedy']",6.3,527965936,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Dunkirk,(2017),106,"['Action', 'Drama', 'History']",7.8,527016307,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0

The Grinch,(2018),85,"['Animation', 'Comedy', 'Family']",6.4,526760632,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0

Godzilla,(2014),123,"['Action', 'Adventure', 'Sci-Fi']",6.4,524976069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

How to Train Your Dragon: The Hidden World,(2019),104,"['Animation', 'Action', 'Adventure']",7.4,524580592,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Sherlock Holmes,(2009),128,"['Action', 'Adventure', 'Mystery']",7.6,524028679,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0

Meet the Fockers,(2004),115,"['Comedy', 'Romance']",6.3,522657936,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

WALL·E,(2008),98,"['Animation', 'Adventure', 'Family']",8.4,521311890,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Kung Fu Panda 3,(2016),95,"['Animation', 'Action', 'Adventure']",7.1,521170825,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Terminator 2: Judgment Day,(1991),137,"['Action', 'Sci-Fi']",8.6,520881154,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Ant-Man,(2015),117,"['Action', 'Comedy', 'Sci-Fi']",7.3,519311965,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Venom: Let There Be Carnage,(2021),97,"['Action', 'Sci-Fi', 'Thriller']",5.9,506863592,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Ghost,(1990),127,"['Drama', 'Fantasy', 'Romance']",7.1,505703557,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Aladdin,(1992),90,"['Animation', 'Adventure', 'Comedy']",8,504050219,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Gladiator,(2000),155,"['Action', 'Adventure', 'Drama']",8.5,503162313,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Rio 2,(2014),101,"['Animation', 'Adventure', 'Comedy']",6.3,498781117,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Troy,(2004),163,['Drama'],7.3,497409852,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Toy Story 2,(1999),92,"['Animation', 'Adventure', 'Comedy']",7.9,497375381,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

How to Train Your Dragon,(2010),98,"['Animation', 'Action', 'Adventure']",8.1,494879471,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Twister,(I) (1996),113,"['Action', 'Adventure', 'Thriller']",6.4,494580615,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Oz the Great and Powerful,(2013),130,"['Adventure', 'Family', 'Fantasy']",6.3,493311825,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Clash of the Titans,(2010),106,"['Action', 'Adventure', 'Fantasy']",5.8,493214993,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Maleficent: Mistress of Evil,(2019),119,"['Adventure', 'Family', 'Fantasy']",6.6,491730089,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

War for the Planet of the Apes,(2017),140,"['Action', 'Adventure', 'Drama']",7.4,490719763,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Shrek,(2001),90,"['Animation', 'Adventure', 'Comedy']",7.9,488351320,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Mr. & Mrs. Smith,(2005),120,"['Action', 'Comedy', 'Crime']",6.5,487287646,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

Angels & Demons,(2009),138,"['Action', 'Mystery', 'Thriller']",6.7,485930816,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0

Teenage Mutant Ninja Turtles,(2014),101,"['Action', 'Adventure', 'Comedy']",5.8,485004754,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Bruce Almighty,(2003),101,"['Comedy', 'Fantasy']",6.8,484592874,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Rio,(2011),96,"['Animation', 'Adventure', 'Comedy']",6.9,483866772,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Saving Private Ryan,(1998),169,"['Drama', 'War']",8.6,482349603,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0

Rise of the Planet of the Apes,(2011),105,"['Action', 'Drama', 'Sci-Fi']",7.6,481800873,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Home Alone,(1990),103,"['Comedy', 'Family']",7.7,476684675,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0

Jaws,(1975),124,"['Adventure', 'Mystery', 'Thriller']",8.1,476512065,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0

Hotel Transylvania 2,(2015),89,"['Animation', 'Adventure', 'Comedy']",6.6,475186706,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode VI - Return of the Jedi,(1983),131,"['Action', 'Adventure', 'Fantasy']",8.3,475106177,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Charlie and the Chocolate Factory,(2005),115,"['Adventure', 'Comedy', 'Family']",6.7,474968763,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0

Indiana Jones and the Last Crusade,(1989),127,"['Action', 'Adventure']",8.2,474171806,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

San Andreas,(2015),114,"['Action', 'Adventure', 'Thriller']",6.1,474009154,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

It Chapter Two,(2019),169,"['Drama', 'Fantasy', 'Horror']",6.5,473122525,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0

La La Land,(2016),128,"['Comedy', 'Drama', 'Music']",8,472013241,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0

Wreck-It Ralph,(2012),101,"['Animation', 'Adventure', 'Comedy']",7.7,471222889,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Godzilla vs. Kong,(2021),113,"['Action', 'Sci-Fi', 'Thriller']",6.3,470116094,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

The Hangover,(2009),100,['Comedy'],7.7,469328079,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Lucy,(I) (2014),89,"['Action', 'Sci-Fi', 'Thriller']",6.4,469058574,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

The Lego Movie,(2014),100,"['Animation', 'Action', 'Adventure']",7.7,468266122,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Bumblebee,(I) (2018),114,"['Action', 'Adventure', 'Sci-Fi']",6.7,467989645,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Star Trek Into Darkness,(2013),132,"['Action', 'Adventure', 'Sci-Fi']",7.7,467365246,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Matrix,(1999),136,"['Action', 'Sci-Fi']",8.7,467222728,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Pretty Woman,(1990),119,"['Comedy', 'Romance']",7.1,463406268,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Cars,(2006),117,"['Animation', 'Adventure', 'Comedy']",7.2,461991867,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Ba bai,(2020),149,"['Action', 'Drama', 'History']",6.7,461421559,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0

X-Men: The Last Stand,(2006),104,"['Action', 'Adventure', 'Sci-Fi']",6.6,460435291,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Du xing yue qiu,(2022),122,"['Comedy', 'Sci-Fi']",6.4,460237662,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

National Treasure: Book of Secrets,(2007),124,"['Action', 'Adventure', 'Mystery']",6.5,459242249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0

Mission: Impossible,(1996),110,"['Action', 'Adventure', 'Thriller']",7.1,457696391,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

300,(2006),117,"['Action', 'Drama']",7.6,456082343,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Last Samurai,(2003),154,"['Action', 'Drama']",7.8,454627263,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Kimetsu no Yaiba: Mugen Ressha-Hen,(2020),117,"['Animation', 'Action', 'Adventure']",8.2,453210959,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Wo bu shi yao shen,(2018),117,"['Comedy', 'Drama']",7.8,451183391,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Ocean's Eleven,(2001),116,"['Crime', 'Thriller']",7.7,450717150,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0

Wo he wo de zu guo,(2019),154,"['Drama', 'History']",6.3,450064993,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0

Thor,(2011),115,"['Action', 'Fantasy']",7,449326618,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Pearl Harbor,(2001),183,"['Action', 'Drama', 'History']",6.2,449220945,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0

Tarzan,(1999),88,"['Animation', 'Adventure', 'Comedy']",7.3,448191819,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Men in Black II,(2002),88,"['Action', 'Adventure', 'Comedy']",6.2,445135288,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Bourne Ultimatum,(2007),115,"['Action', 'Mystery', 'Thriller']",8,444100035,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0

The Mummy Returns,(2001),130,"['Action', 'Adventure', 'Fantasy']",6.4,443280904,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Alvin and the Chipmunks: The Squeakquel,(2009),88,"['Animation', 'Adventure', 'Comedy']",4.5,443140005,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Les Misérables,(2012),158,"['Drama', 'Musical', 'Romance']",7.5,442299309,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0

The Exorcist,(1973),122,['Horror'],8.1,441306145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0

Mrs. Doubtfire,(1993),125,"['Comedy', 'Drama']",7.1,441286195,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Terminator Genisys,(2015),126,"['Action', 'Adventure', 'Sci-Fi']",6.3,440603537,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Warcraft,(2016),123,"['Action', 'Adventure', 'Fantasy']",6.7,439048914,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

A Star Is Born,(2018),136,"['Drama', 'Music', 'Romance']",7.6,436233122,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0

The Greatest Showman,(2017),105,"['Biography', 'Drama', 'Musical']",7.5,435732529,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0

Terminator 3: Rise of the Machines,(2003),109,"['Action', 'Sci-Fi']",6.3,433371112,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Pokémon: Detective Pikachu,(2019),104,"['Action', 'Adventure', 'Comedy']",6.5,433230304,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Shang-Chi and the Legend of the Ten Rings,(2021),132,"['Action', 'Adventure', 'Fantasy']",7.4,432243292,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Die Another Day,(2002),133,"['Action', 'Adventure', 'Thriller']",6.1,431971116,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

The Secret Life of Pets 2,(2019),86,"['Animation', 'Adventure', 'Comedy']",6.4,431058415,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Cast Away,(2000),143,"['Adventure', 'Drama', 'Romance']",7.8,429632142,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Rampage,(2018),107,"['Action', 'Adventure', 'Sci-Fi']",6.1,428028233,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The King's Speech,(2010),118,"['Biography', 'Drama', 'History']",8,427374317,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0

The Matrix Revolutions,(2003),129,"['Action', 'Sci-Fi']",6.7,427344325,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Intouchables,(2011),112,"['Biography', 'Comedy', 'Drama']",8.5,426588510,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0

Bad Boys for Life,(2020),124,"['Action', 'Comedy', 'Crime']",6.5,426505244,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0

Django Unchained,(2012),165,"['Drama', 'Western']",8.4,426074373,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0

Beauty and the Beast,(1991),84,"['Animation', 'Family', 'Fantasy']",8,424967620,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Dances with Wolves,(1990),181,"['Adventure', 'Drama', 'Western']",8,424208848,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0

Wo he wo de jia xiang,(2020),153,['Drama'],6.4,422390820,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Chronicles of Narnia: Prince Caspian,(2008),150,"['Action', 'Adventure', 'Family']",6.5,419665568,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Sex and the City,(2008),145,"['Comedy', 'Drama', 'Romance']",5.7,418765519,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Zhong guo ji zhang,(2019),111,"['Action', 'Adventure', 'Drama']",6.2,417282021,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Mummy,(1999),124,"['Action', 'Adventure', 'Fantasy']",7.1,415933406,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),113,"['Adventure', 'Family', 'Fantasy']",6.3,415686217,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

