Title,Year,Runtime,Genre,IMDB Rating,Grosses,Action,Adventure,Fantasy,Drama,Romance,Sci-Fi,Animation,Crime,Thriller,Comedy,Family,Biography,Music,History,Mystery,Horror,Musical,War,Western,Sport,Documentary
Jumanji: Welcome to the Jungle,(2017),119,"['Action', 'Adventure', 'Comedy']",6.9,995339117,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Deathly Hallows: Part 1,(2010),146,"['Adventure', 'Family', 'Fantasy']",7.7,977070383,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Despicable Me 2,(2013),98,"['Animation', 'Adventure', 'Comedy']",7.3,970766005,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

The Lion King 2,(1994),88,"['Animation', 'Adventure', 'Drama']",8.5,968511805,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Jungle Book,(2016),106,"['Adventure', 'Drama', 'Family']",7.4,966554929,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

The Hobbit: The Battle of the Five Armies,(2014),144,"['Adventure', 'Fantasy']",7.4,962201338,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Pirates of the Caribbean: At World's End,(2007),169,"['Action', 'Adventure', 'Fantasy']",7.1,960996492,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Hobbit: The Desolation of Smaug,(2013),161,['Fantasy'],7.8,959027992,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Doctor Strange in the Multiverse of Madness,(2022),126,"['Action', 'Adventure', 'Fantasy']",6.9,955775804,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Lord of the Rings: The Two Towers,(2002),179,"['Action', 'Adventure', 'Drama']",8.8,947944270,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Order of the Phoenix,(2007),138,"['Action', 'Adventure', 'Family']",7.5,942256902,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Finding Nemo,(2003),100,"['Animation', 'Adventure', 'Comedy']",8.2,940352645,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Minions: The Rise of Gru,(2022),87,"['Animation', 'Adventure', 'Comedy']",6.5,939628210,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Half-Blood Prince,(2009),153,"['Action', 'Adventure', 'Family']",7.6,934504700,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Shrek 2,(2004),93,"['Animation', 'Adventure', 'Comedy']",7.3,928760770,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Chamber of Secrets,(2002),161,"['Adventure', 'Family', 'Fantasy']",7.4,925054421,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Bohemian Rhapsody,(2018),134,"['Biography', 'Drama', 'Music']",7.9,910809311,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0

Chang jin hu,(2021),176,"['Action', 'Drama', 'History']",5.4,902548476,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0

The Lord of the Rings: The Fellowship of the Ring,(2001),178,"['Action', 'Adventure', 'Drama']",8.8,898204420,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Harry Potter and the Goblet of Fire,(2005),157,"['Adventure', 'Family', 'Fantasy']",7.7,896815106,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0

Spider-Man 3,(2007),139,"['Action', 'Adventure', 'Sci-Fi']",6.3,894983373,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Secret Life of Pets,(2016),87,"['Animation', 'Adventure', 'Comedy']",6.5,894328469,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Ice Age: Dawn of the Dinosaurs,(2009),94,"['Animation', 'Adventure', 'Comedy']",6.9,886686817,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Spectre,(I) (2015),148,"['Action', 'Adventure', 'Thriller']",6.8,880705312,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0

Spider-Man: Homecoming,(2017),133,"['Action', 'Adventure', 'Sci-Fi']",7.4,880166924,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Ice Age: Continental Drift,(2012),88,"['Animation', 'Adventure', 'Comedy']",6.5,877244782,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Batman v Superman: Dawn of Justice,(2016),151,"['Action', 'Adventure', 'Sci-Fi']",6.4,873637528,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Zhan lang II,(2017),123,"['Action', 'Adventure', 'Drama']",5.9,870325439,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Star Wars: Episode III - Revenge of the Sith,(2005),140,"['Action', 'Adventure', 'Fantasy']",7.6,868390560,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

The Hunger Games: Catching Fire,(2013),146,"['Action', 'Adventure', 'Sci-Fi']",7.5,865011746,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

Guardians of the Galaxy Vol. 2,(2017),136,"['Action', 'Adventure', 'Comedy']",7.6,863756051,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Inside Out,(I) (2015),95,"['Animation', 'Adventure', 'Comedy']",8.1,858848019,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0

Venom,(2018),112,"['Action', 'Adventure', 'Sci-Fi']",6.6,856085151,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

