Title,Year,Runtime,Genre,IMDB Rating,Grosses
Man of Steel,(2013),143,"['Action', 'Adventure', 'Sci-Fi']",7.1,668045518

Ice Age: The Meltdown,(2006),91,"['Animation', 'Adventure', 'Comedy']",6.8,667094506

Kung Fu Panda 2,(2011),90,"['Animation', 'Action', 'Adventure']",7.2,665692281

Moana,(I) (2016),107,"['Animation', 'Adventure', 'Comedy']",7.6,665069139

Justice League,(2017),120,"['Action', 'Adventure', 'Fantasy']",6.1,657926987

Big Hero 6,(2014),102,"['Animation', 'Action', 'Adventure']",7.8,657869686

Fantastic Beasts: The Crimes of Grindelwald,(2018),134,"['Adventure', 'Family', 'Fantasy']",6.5,654855901

Pirates of the Caribbean: The Curse of the Black Pearl,(2003),143,"['Action', 'Adventure', 'Fantasy']",8.1,654264015

Men in Black 3,(2012),106,"['Action', 'Adventure', 'Comedy']",6.8,654213485

Star Wars: Episode II - Attack of the Clones,(2002),142,"['Action', 'Adventure', 'Fantasy']",6.6,653779970

The Hunger Games: Mockingjay - Part 2,(2015),137,"['Action', 'Adventure', 'Sci-Fi']",6.5,653428261

Thor: The Dark World,(2013),112,"['Action', 'Adventure', 'Fantasy']",6.8,644783140

Sing,(2016),108,"['Animation', 'Comedy', 'Family']",7.1,634338384

Kung Fu Panda,(2008),92,"['Animation', 'Action', 'Adventure']",7.6,632083197

The Incredibles,(2004),115,"['Animation', 'Action', 'Adventure']",8,631607053

The Martian,(2015),144,"['Adventure', 'Drama', 'Sci-Fi']",8,630620818

Hancock,(2008),92,"['Action', 'Comedy', 'Drama']",6.4,629443428

Chang jin hu zhi shui men qiao,(2022),153,"['Action', 'Drama', 'History']",5.5,626571697

Fast Five,(2011),130,"['Action', 'Crime', 'Thriller']",7.3,626137675

Iron Man 2,(2010),124,"['Action', 'Sci-Fi']",6.9,623933331

Ratatouille,(2007),111,"['Animation', 'Adventure', 'Comedy']",8.1,623726085

Ant-Man and the Wasp,(2018),118,"['Action', 'Adventure', 'Comedy']",7,622674139

