Title,Year,Runtime,Genre,IMDB Rating,Grosses
Jason Bourne,(I) (2016),123,"['Action', 'Thriller']",6.6,415484914

Mad Max: Fury Road,(2015),120,"['Action', 'Adventure', 'Sci-Fi']",8.1,415261382

The Wolverine,(2013),126,"['Action', 'Sci-Fi']",6.7,414828246

Kingsman: The Secret Service,(2014),129,"['Action', 'Adventure', 'Comedy']",7.7,414351546

Night at the Museum: Battle of the Smithsonian,(2009),105,"['Adventure', 'Comedy', 'Family']",6,413106170

Batman,(1989),126,"['Action', 'Adventure']",7.5,411569241

The Bodyguard,(1992),129,"['Action', 'Drama', 'Music']",6.3,411046449

Pacific Rim,(2013),131,"['Action', 'Adventure', 'Sci-Fi']",6.9,411002906

Kingsman: The Golden Circle,(2017),141,"['Action', 'Adventure', 'Comedy']",6.7,410902662

The Mummy,(2017),110,"['Action', 'Adventure', 'Fantasy']",5.4,409231607

Ice Age: Collision Course,(2016),94,"['Animation', 'Adventure', 'Comedy']",5.6,408754975

Twilight,(I) (2008),122,"['Drama', 'Fantasy', 'Romance']",5.3,408430415

Signs,(2002),106,"['Drama', 'Mystery', 'Sci-Fi']",6.8,408247917

X2,(2003),134,"['Action', 'Sci-Fi', 'Thriller']",7.4,407711549

Sing 2,(2021),110,"['Animation', 'Adventure', 'Comedy']",7.4,407562651

Fantastic Beasts: The Secrets of Dumbledore,(2022),142,"['Adventure', 'Family', 'Fantasy']",6.2,406950844

The Wolf of Wall Street,(2013),180,"['Biography', 'Comedy', 'Crime']",8.2,406878233

Alita: Battle Angel,(2019),122,"['Action', 'Adventure', 'Sci-Fi']",7.3,404980543

The Mummy: Tomb of the Dragon Emperor,(2008),112,"['Action', 'Adventure', 'Fantasy']",5.2,403449830

Prometheus,(I) (2012),124,"['Adventure', 'Mystery', 'Sci-Fi']",7,403354469

Sonic the Hedgehog 2,(2022),122,"['Action', 'Adventure', 'Comedy']",6.5,402656846

Gone with the Wind,(1939),238,"['Drama', 'Romance', 'War']",8.2,402382193

Mamma Mia! Here We Go Again,(2018),114,"['Comedy', 'Musical', 'Romance']",6.6,402264843

Eternals,(2021),156,"['Action', 'Adventure', 'Fantasy']",6.3,402064899

Dune: Part One,(2021),155,"['Action', 'Adventure', 'Drama']",8,402027830

Uncharted,(2022),116,"['Action', 'Adventure']",6.3,401748820

Tron,(2010),125,"['Action', 'Adventure', 'Sci-Fi']",6.8,400063852

Mission: Impossible III,(2006),126,"['Action', 'Adventure', 'Thriller']",6.9,398479497

Snow White and the Huntsman,(2012),127,"['Action', 'Adventure', 'Drama']",6.1,396592829

Grease,(1978),110,"['Comedy', 'Musical', 'Romance']",7.2,396271103

Toy Story,(1995),81,"['Animation', 'Adventure', 'Comedy']",8.3,394436586

Solo: A Star Wars Story,(2018),135,"['Action', 'Adventure', 'Sci-Fi']",6.9,392924807

Black Adam,(2022),125,"['Action', 'Adventure', 'Fantasy']",6.3,392913058

Superman Returns,(2006),154,"['Action', 'Adventure', 'Sci-Fi']",6.1,391081192

Robin Hood: Prince of Thieves,(1991),143,"['Action', 'Adventure', 'Drama']",6.9,390493908

Raiders of the Lost Ark,(1981),115,"['Action', 'Adventure']",8.4,389925971

Independence Day: Resurgence,(2016),120,"['Action', 'Adventure', 'Sci-Fi']",5.2,389681935

Live Free or Die Hard,(2007),128,"['Action', 'Thriller']",7.1,388156011

Zhuo yao ji,(2015),117,"['Adventure', 'Comedy', 'Fantasy']",6.1,387053506

Godzilla: King of the Monsters,(2019),132,"['Action', 'Adventure', 'Fantasy']",6,386600138

Home,(II) (2015),94,"['Animation', 'Adventure', 'Comedy']",6.5,386041607

Star Trek,(2009),127,"['Action', 'Adventure', 'Sci-Fi']",7.9,385680446

1917,(2019),119,"['Action', 'Drama', 'War']",8.2,384577421

Happy Feet,(2006),108,"['Animation', 'Adventure', 'Comedy']",6.4,384336108

Spider-Man: Into the Spider-Verse,(2018),117,"['Animation', 'Action', 'Adventure']",8.4,384256930

Cars 3,(2017),102,"['Animation', 'Adventure', 'Comedy']",6.7,383930656

Back to the Future,(1985),116,"['Adventure', 'Comedy', 'Sci-Fi']",8.5,383336762

Ice Age,(2002),81,"['Animation', 'Adventure', 'Comedy']",7.5,383257136

Kimi no na wa.,(2016),106,"['Animation', 'Drama', 'Fantasy']",8.4,382238181

Fifty Shades Darker,(2017),118,"['Drama', 'Romance', 'Thriller']",4.6,381545846

Monsters vs. Aliens,(2009),94,"['Animation', 'Action', 'Adventure']",6.4,381509870

Black Widow,(2021),134,"['Action', 'Adventure', 'Sci-Fi']",6.7,379751655

Godzilla,(I) (1998),139,"['Action', 'Sci-Fi', 'Thriller']",5.4,379014294

True Lies,(1994),141,"['Action', 'Comedy', 'Thriller']",7.3,378882411

Slumdog Millionaire,(2008),120,"['Crime', 'Drama', 'Romance']",8,378410542

Once Upon a Time in... Hollywood,(2019),161,"['Comedy', 'Drama']",7.6,377617598

Taken 2,(2012),92,"['Action', 'Crime', 'Thriller']",6.2,376152455

G.I. Joe: Retaliation,(2013),110,"['Action', 'Adventure', 'Sci-Fi']",5.7,375740705

Shark Tale,(2004),90,"['Animation', 'Adventure', 'Comedy']",6,374583879

What Women Want,(2000),127,"['Comedy', 'Fantasy', 'Romance']",6.4,374111707

The Adventures of Tintin,(2011),107,"['Animation', 'Action', 'Adventure']",7.3,373993951

Batman Begins,(2005),140,"['Action', 'Crime', 'Drama']",8.2,373672993

Penguins of Madagascar,(2014),92,"['Animation', 'Action', 'Adventure']",6.6,373515621

X-Men Origins: Wolverine,(2009),107,"['Action', 'Sci-Fi']",6.5,373062864

The Golden Compass,(2007),113,"['Adventure', 'Family', 'Fantasy']",6.1,372234864

Fifty Shades Freed,(2018),105,"['Drama', 'Romance', 'Thriller']",4.5,371985018

Hitch,(I) (2005),118,"['Comedy', 'Romance']",6.6,371594210

Terminator Salvation,(2009),115,"['Action', 'Adventure', 'Sci-Fi']",6.5,371353001

Captain America: The First Avenger,(2011),124,"['Action', 'Adventure', 'Sci-Fi']",6.9,370569774

Edge of Tomorrow,(2014),113,"['Action', 'Adventure', 'Sci-Fi']",7.9,370541256

There's Something About Mary,(1998),119,"['Comedy', 'Romance']",7.1,369884651

Gone Girl,(2014),149,"['Drama', 'Mystery', 'Thriller']",8.1,369330363

The Fugitive,(1993),130,"['Action', 'Crime', 'Drama']",7.8,368875760

Jurassic Park III,(2001),92,"['Action', 'Adventure', 'Sci-Fi']",5.9,368780809

My Big Fat Greek Wedding,(2002),95,"['Comedy', 'Drama', 'Romance']",6.6,368744044

Xi hong shi shou fu,(2018),118,['Comedy'],6.1,366961907

Die Hard with a Vengeance,(1995),128,"['Action', 'Adventure', 'Thriller']",7.6,366101666

Shazam!,(2019),132,"['Action', 'Adventure', 'Comedy']",7,366080049

The Nun,(2018),96,"['Horror', 'Mystery', 'Thriller']",5.3,365582797

Alvin and the Chipmunks,(2007),92,"['Animation', 'Adventure', 'Comedy']",5.2,365352546

Tenet,(2020),150,"['Action', 'Sci-Fi', 'Thriller']",7.3,365304105

Notting Hill,(1999),124,"['Comedy', 'Drama', 'Romance']",7.2,363889678

A Bug's Life,(1998),95,"['Animation', 'Adventure', 'Comedy']",7.2,363258859

Night at the Museum: Secret of the Tomb,(2014),98,"['Adventure', 'Comedy', 'Family']",6.2,363204635

Ocean's Twelve,(2004),125,"['Crime', 'Thriller']",6.5,362744280

Planet of the Apes,(2001),119,"['Action', 'Adventure', 'Sci-Fi']",5.7,362211740

The Hangover Part III,(2013),100,"['Comedy', 'Crime']",5.8,362000072

The World Is Not Enough,(1999),128,"['Action', 'Adventure', 'Thriller']",6.4,361832400

Zhuo yao ji 2,(2018),110,"['Adventure', 'Comedy', 'Fantasy']",5.4,361682618

Fast & Furious,(2009),107,"['Action', 'Crime', 'Thriller']",6.5,360366870

Noah,(2014),138,"['Action', 'Adventure', 'Drama']",5.8,359200044

The Karate Kid,(2010),140,"['Action', 'Drama', 'Family']",6.2,359126022

Home Alone 2: Lost in New York,(1992),120,"['Adventure', 'Comedy', 'Crime']",6.8,358994850

Hotel Transylvania,(2012),91,"['Animation', 'Adventure', 'Comedy']",7,358375603

Minority Report,(2002),145,"['Action', 'Crime', 'Mystery']",7.6,358372926

Top Gun,(1986),109,"['Action', 'Drama']",6.9,357288178

The Legend of Tarzan,(2016),110,"['Action', 'Adventure', 'Drama']",6.2,356700357

American Beauty,(1999),122,['Drama'],8.3,356296601

Sen to Chihiro no kamikakushi,(2001),125,"['Animation', 'Adventure', 'Family']",8.6,355822319

Apollo 13,(I) (1995),140,"['Adventure', 'Drama', 'History']",7.7,355237933

Rain Man,(1988),133,['Drama'],8,354825435

The Great Gatsby,(2013),143,"['Drama', 'Romance']",7.2,353659851

Dumbo,(2019),112,"['Adventure', 'Family', 'Fantasy']",6.3,353284621

"I, Robot",(2004),115,"['Action', 'Mystery', 'Sci-Fi']",7.1,353133898

Basic Instinct,(1992),127,"['Drama', 'Mystery', 'Thriller']",7,352927224

Murder on the Orient Express,(2017),114,"['Crime', 'Drama', 'Mystery']",6.5,352794081

X: First Class,(2011),131,"['Action', 'Sci-Fi']",7.7,352616690

Angry Birds,(2016),97,"['Animation', 'Action', 'Adventure']",6.3,352333929

GoldenEye,(1995),130,"['Action', 'Adventure', 'Thriller']",7.2,352194034

Catch Me If You Can,(2002),141,"['Biography', 'Crime', 'Drama']",8.1,352114312

Now You See Me,(I) (2013),115,"['Crime', 'Mystery', 'Thriller']",7.2,351723989

Hannibal,(2001),131,"['Crime', 'Drama', 'Thriller']",6.8,351692268

The Mask,(1994),101,"['Action', 'Comedy', 'Crime']",6.9,351583407

Peter Rabbit,(2018),95,"['Adventure', 'Comedy', 'Crime']",6.6,351496066

Speed,(1994),116,"['Action', 'Adventure', 'Thriller']",7.3,350448145

Dinosaur,(2000),82,"['Animation', 'Adventure', 'Drama']",6.4,349822765

Mary Poppins Returns,(2018),130,"['Adventure', 'Comedy', 'Family']",6.7,349546142

Deep Impact,(1998),120,"['Action', 'Drama', 'Sci-Fi']",6.2,349464664

The Lorax,(2012),86,"['Animation', 'Adventure', 'Comedy']",6.4,349183316

The Maze Runner,(2014),113,"['Action', 'Mystery', 'Sci-Fi']",6.8,348319861

The Smurfs 2,(2013),105,"['Animation', 'Adventure', 'Comedy']",5.3,347545360

National Treasure,(2004),131,"['Action', 'Adventure', 'Mystery']",6.9,347512318

Rush Hour 2,(2001),90,"['Action', 'Comedy', 'Crime']",6.6,347325802

Trolls,(2016),92,"['Animation', 'Adventure', 'Comedy']",6.4,347182886

xXx: Return of Xander Cage,(2017),107,"['Action', 'Adventure', 'Thriller']",5.2,346118277

Pocahontas,(I) (1995),81,"['Animation', 'Adventure', 'Drama']",6.7,346079773

How the Grinch Stole Christmas,(2000),104,"['Comedy', 'Family', 'Fantasy']",6.3,345823032

Star Trek Beyond,(2016),122,"['Action', 'Adventure', 'Sci-Fi']",7,343471816

Alvin and the Chipmunks: Chipwrecked,(2011),87,"['Animation', 'Adventure', 'Comedy']",4.3,342695435

Wanted,(2008),110,"['Action', 'Crime', 'Thriller']",6.7,342463063

The Flintstones,(1994),91,"['Comedy', 'Family', 'Fantasy']",5,341631208

A Quiet Place,(2018),90,"['Drama', 'Horror', 'Sci-Fi']",7.5,340952971

Enchanted,(2007),107,"['Animation', 'Adventure', 'Comedy']",7.1,340487836

Over the Hedge,(2006),83,"['Animation', 'Adventure', 'Comedy']",6.7,339795890

300: Rise of an Empire,(2014),102,"['Action', 'Drama']",6.2,337580051

Batman Forever,(1995),121,"['Action', 'Adventure']",5.4,336567158

Prince of Persia: The Sands of Time,(2010),116,"['Action', 'Adventure', 'Fantasy']",6.6,336365676

The Curious Case of Benjamin Button,(2008),166,"['Drama', 'Fantasy', 'Romance']",7.8,335802786

Journey 2: The Mysterious Island,(2012),94,"['Action', 'Adventure', 'Comedy']",5.7,335287748

The Rock,(1996),136,"['Action', 'Adventure', 'Thriller']",7.4,335062621

The Great Wall,(I) (2016),103,"['Action', 'Adventure', 'Fantasy']",5.9,334933831

Now You See Me 2,(2016),129,"['Action', 'Adventure', 'Comedy']",6.4,334897606

Xiu xiu de tie quan,(2017),100,"['Comedy', 'Fantasy', 'Sport']",6.2,334530869

Fantastic Four,(I) (2005),106,"['Action', 'Adventure', 'Fantasy']",5.7,333535934

Indiana Jones and the Temple of Doom,(1984),118,"['Action', 'Adventure']",7.5,333107271

Tomorrow Never Dies,(1997),119,"['Action', 'Adventure', 'Thriller']",6.5,333011068

Back to the Future Part II,(1989),108,"['Adventure', 'Comedy', 'Sci-Fi']",7.8,332500002

The Good Dinosaur,(2015),93,"['Animation', 'Adventure', 'Comedy']",6.7,332207671

Free Guy,(2021),115,"['Action', 'Adventure', 'Comedy']",7.1,331526598

22 Jump Street,(2014),112,"['Action', 'Comedy', 'Crime']",7,331333876

Meet the Parents,(2000),108,"['Comedy', 'Romance']",7,330444045

Who Framed Roger Rabbit,(1988),104,"['Animation', 'Adventure', 'Comedy']",7.7,329803958

Black Swan,(2010),108,"['Drama', 'Thriller']",8,329398046

The Perfect Storm,(2000),130,"['Action', 'Adventure', 'Drama']",6.5,328718434

John Wick: Chapter 3 - Parabellum,(2019),130,"['Action', 'Crime', 'Thriller']",7.4,328349387

Crocodile Dundee,(1986),97,"['Action', 'Adventure', 'Comedy']",6.6,328203506

Feng kuang de wai xing ren,(2019),116,"['Comedy', 'Sci-Fi']",5.8,327598891

Se7en,(1995),127,"['Crime', 'Drama', 'Mystery']",8.6,327333559

The Devil Wears Prada,(2006),109,"['Comedy', 'Drama']",6.9,326706115

Taken 3,(2014),108,"['Action', 'Crime', 'Thriller']",6,326479141

The Hunchback of Notre Dame,(1996),91,"['Animation', 'Drama', 'Family']",7,325338851

A Christmas Carol,(2009),96,"['Animation', 'Adventure', 'Comedy']",6.8,325286646

The SpongeBob Movie: Sponge Out of Water,(2015),92,"['Animation', 'Adventure', 'Comedy']",6,325186032

Schindler's List,(1993),195,"['Biography', 'Drama', 'History']",9,322161245

Megamind,(2010),95,"['Animation', 'Action', 'Comedy']",7.3,321885765

The Conjuring 2,(2016),134,"['Horror', 'Mystery', 'Thriller']",7.3,321834351

Green Book,(2018),130,"['Biography', 'Comedy', 'Drama']",8.2,321752656

Lethal Weapon 3,(1992),118,"['Action', 'Crime', 'Thriller']",6.7,321731527

Robin Hood,(2010),140,"['Action', 'Adventure', 'Drama']",6.6,321669741

Inglourious Basterds,(2009),153,"['Adventure', 'Drama', 'War']",8.3,321457747

101 Dalmatians,(1996),103,"['Adventure', 'Comedy', 'Crime']",5.7,320689294

The Conjuring,(2013),112,"['Horror', 'Mystery', 'Thriller']",7.5,320406242

Fatal Attraction,(1987),119,"['Drama', 'Thriller']",6.9,320145693

Sonic the Hedgehog,(2020),99,"['Action', 'Adventure', 'Comedy']",6.5,319715683

The Last Airbender,(2010),103,"['Action', 'Adventure', 'Family']",4,319713881

The Proposal,(I) (2009),108,"['Comedy', 'Drama', 'Romance']",6.7,317375031

The Polar Express,(2004),100,"['Animation', 'Adventure', 'Comedy']",6.6,316897787

A Beautiful Mind,(2001),135,"['Biography', 'Drama']",8.2,316791257

Beverly Hills Cop,(1984),105,"['Action', 'Comedy', 'Crime']",7.3,316360478

Air Force One,(1997),124,"['Action', 'Drama', 'Thriller']",6.5,315156409

Wonder,(I) (2017),113,"['Drama', 'Family']",7.9,315025930

The Expendables 2,(2012),103,"['Action', 'Adventure', 'Thriller']",6.6,314975955

Chicken Little,(2005),81,"['Animation', 'Adventure', 'Comedy']",5.7,314432837

As Good as It Gets,(1997),139,"['Comedy', 'Drama', 'Romance']",7.7,314178011

Knives Out,(2019),130,"['Comedy', 'Crime', 'Drama']",7.9,312897920

Maze Runner: The Scorch Trials,(2015),131,"['Action', 'Adventure', 'Sci-Fi']",6.3,312296056

Resident Evil: The Final Chapter,(2016),107,"['Action', 'Horror', 'Sci-Fi']",5.5,312242626

The Lego Batman Movie,(2017),104,"['Animation', 'Action', 'Adventure']",7.3,312136671

Austin Powers: The Spy Who Shagged Me,(1999),95,"['Action', 'Adventure', 'Comedy']",6.6,312016928

Ocean's Thirteen,(2007),122,"['Crime', 'Thriller']",6.9,311312624

Little Fockers,(2010),98,"['Comedy', 'Romance']",5.5,310650585

Bolt,(2008),96,"['Animation', 'Adventure', 'Comedy']",6.8,309979994

Ransom,(1996),121,"['Action', 'Crime', 'Thriller']",6.7,309492681

Runaway Bride,(1999),116,"['Comedy', 'Romance']",5.6,309460292

The Blind Side,(2009),129,"['Biography', 'Drama', 'Sport']",7.6,309231694

Qian ren 3: Zai jian qian ren,(2017),120,"['Comedy', 'Romance']",5.6,307592427

The Fault in Our Stars,(2014),126,"['Drama', 'Romance']",7.7,307166834

The Pursuit of Happyness,(2006),117,"['Biography', 'Drama']",8,307127625

Rise of the Guardians,(2012),97,"['Animation', 'Action', 'Adventure']",7.2,306941670

Close Encounters of the Third Kind,(1977),138,"['Drama', 'Sci-Fi']",7.6,306889114

Chicago,(2002),113,"['Comedy', 'Crime', 'Musical']",7.2,306776732

Annabelle: Creation,(2017),109,"['Horror', 'Mystery', 'Thriller']",6.5,306515884

Bridesmaids,(I) (2011),125,"['Comedy', 'Romance']",6.8,306442085

Skyscraper,(2018),102,"['Action', 'Adventure', 'Thriller']",5.8,304868961

A Good Day to Die Hard,(2013),98,"['Action', 'Thriller']",5.2,304654182

Mulan,(1998),87,"['Animation', 'Adventure', 'Comedy']",7.6,304320254

Dangal,(2016),161,"['Action', 'Biography', 'Drama']",8.3,303723636

Passengers,(I) (2016),116,"['Drama', 'Romance', 'Sci-Fi']",7,303144152

Battleship,(2012),131,"['Action', 'Adventure', 'Sci-Fi']",5.8,303025485

Liar Liar,(1997),86,"['Comedy', 'Fantasy']",6.9,302710615

G.I. Joe: The Rise of Cobra,(2009),118,"['Action', 'Adventure', 'Sci-Fi']",5.7,302469017

Wrath of the Titans,(2012),99,"['Action', 'Adventure', 'Fantasy']",5.7,301970083

4: Rise of the Silver Surfer,(2007),92,"['Action', 'Adventure', 'Fantasy']",5.6,301913131

Hook,(1991),142,"['Adventure', 'Comedy', 'Family']",6.8,300854823

Superman,(1978),143,"['Action', 'Adventure', 'Sci-Fi']",7.4,300478449

Rocky IV,(1985),91,"['Drama', 'Sport']",6.9,300473716

Rambo: First Blood Part II,(1985),96,"['Action', 'Adventure', 'Thriller']",6.5,300400432

Resident Evil: Afterlife,(2010),96,"['Action', 'Horror', 'Sci-Fi']",5.8,300228084

Van Helsing,(2004),131,"['Action', 'Adventure', 'Fantasy']",6,300157638

Stuart Little,(1999),84,"['Adventure', 'Comedy', 'Family']",6,300135367

Beverly Hills Cop II,(1987),100,"['Action', 'Comedy', 'Crime']",6.5,299965036

Alice Through the Looking Glass,(2016),113,"['Adventure', 'Family', 'Fantasy']",6.2,299820798

My Best Friend's Wedding,(1997),105,"['Comedy', 'Drama', 'Romance']",6.3,299288605

Real Steel,(2011),127,"['Action', 'Drama', 'Sci-Fi']",7,299268508

Horton Hears a Who!,(2008),86,"['Animation', 'Adventure', 'Comedy']",6.8,298572799

Ocean's Eight,(2018),110,"['Action', 'Comedy', 'Crime']",6.3,297795726

A Quiet Place Part II,(2020),97,"['Drama', 'Horror', 'Sci-Fi']",7.2,297372261

Insurgent,(2015),119,"['Action', 'Adventure', 'Sci-Fi']",6.2,297002527

Look Who's Talking,(1989),93,['Comedy'],5.9,296999813

Austin Powers in Goldmember,(2002),94,"['Action', 'Adventure', 'Comedy']",6.2,296938801

Ghostbusters,(1984),105,"['Action', 'Comedy', 'Fantasy']",7.8,296578797

Miss Peregrine's Home for Peculiar Children,(2016),127,"['Adventure', 'Drama', 'Family']",6.7,296482446

X-Men,(2000),104,"['Action', 'Adventure', 'Sci-Fi']",7.3,296339528

Ferdinand,(2017),108,"['Animation', 'Adventure', 'Comedy']",6.7,296069199

Shutter Island,(2010),138,"['Mystery', 'Thriller']",8.2,294805697

Doctor Dolittle,(1998),85,"['Comedy', 'Family', 'Fantasy']",5.4,294456605

Bee Movie,(2007),91,"['Animation', 'Adventure', 'Comedy']",6.1,293514336

Salt,(2010),100,"['Action', 'Thriller']",6.4,293503354

G-Force,(2009),88,"['Animation', 'Action', 'Adventure']",5.1,292817898

The Departed,(2006),151,"['Crime', 'Drama', 'Thriller']",8.5,291480452

What Lies Beneath,(2000),130,"['Drama', 'Horror', 'Mystery']",6.6,291420351

Pacific Rim: Uprising,(2018),111,"['Action', 'Adventure', 'Fantasy']",5.6,290930148

The Bourne Supremacy,(2004),108,"['Action', 'Mystery', 'Thriller']",7.7,290835269

Sex and the City 2,(2010),146,"['Comedy', 'Drama', 'Romance']",4.5,290745055

Shakespeare in Love,(1998),123,"['Comedy', 'Drama', 'History']",7.1,289317794

Divergent,(2014),139,"['Action', 'Adventure', 'Mystery']",6.6,288885818

Coming to America,(1988),117,"['Comedy', 'Romance']",7.1,288752301

Wedding Crashers,(2005),119,"['Comedy', 'Romance']",7,288485135

Maze Runner: The Death Cure,(2018),143,"['Action', 'Adventure', 'Sci-Fi']",6.2,288175335

Casper,(1995),100,"['Comedy', 'Family', 'Fantasy']",6.1,287928194

American Pie 2,(2001),108,['Comedy'],6.4,287553595

Elvis,(2022),159,"['Biography', 'Drama', 'Music']",7.3,287340048

Pitch Perfect 2,(2015),115,"['Comedy', 'Music']",6.4,287144079

The Green Mile,(1999),189,"['Crime', 'Drama', 'Fantasy']",8.6,286801374

Oblivion,(I) (2013),124,"['Action', 'Adventure', 'Sci-Fi']",7,286168572

Elysium,(I) (2013),109,"['Action', 'Drama', 'Sci-Fi']",6.6,286140700

Lethal Weapon 4,(1998),127,"['Action', 'Crime', 'Thriller']",6.6,285444603

John Carter,(2012),132,"['Action', 'Adventure', 'Sci-Fi']",6.6,284139100

Turbo,(2013),96,"['Animation', 'Adventure', 'Comedy']",6.4,282570682

Paddington,(2014),95,"['Adventure', 'Comedy', 'Family']",7.3,282377683

Bridget Jones's Diary,(2001),97,"['Comedy', 'Drama', 'Romance']",6.8,281995610

The Tourist,(I) (2010),103,"['Action', 'Thriller']",6,278780441

Split,(IX) (2016),117,"['Horror', 'Thriller']",7.3,278454417

Scary Movie,(2000),88,['Comedy'],6.2,278019771

xXx,(2002),124,"['Action', 'Adventure', 'Thriller']",5.8,277448382

The Bourne Legacy,(2012),135,"['Action', 'Adventure', 'Thriller']",6.6,276144750

Mr. Peabody & Sherman,(2014),92,"['Animation', 'Adventure', 'Comedy']",6.8,275698039

Scooby-Doo,(2002),89,"['Adventure', 'Comedy', 'Family']",5.2,275678613

Lincoln,(2012),150,"['Biography', 'Drama', 'History']",7.3,275293450

Lara Croft: Tomb Raider,(2001),100,"['Action', 'Adventure', 'Fantasy']",5.7,274703340

Tomb Raider,(2018),119,"['Action', 'Adventure', 'Fantasy']",6.3,274650803

The Expendables,(2010),103,"['Action', 'Adventure', 'Thriller']",6.4,274470394

Cloudy with a Chance of Meatballs 2,(2013),95,"['Animation', 'Adventure', 'Comedy']",6.3,274325949

The Nutty Professor,(1996),95,"['Comedy', 'Romance', 'Sci-Fi']",5.7,273961019

Jerry Maguire,(1996),139,"['Comedy', 'Drama', 'Romance']",7.3,273552592

Bad Boys II,(2003),147,"['Action', 'Comedy', 'Crime']",6.6,273339556

Lilo & Stitch,(2002),85,"['Animation', 'Adventure', 'Comedy']",7.3,273144151

The Silence of the Lambs,(1991),118,"['Crime', 'Drama', 'Thriller']",8.6,272742922

Grown Ups,(I) (2010),102,['Comedy'],5.9,271457301

Neighbors,(I) (2014),97,['Comedy'],6.3,270665134

The Firm,(1993),154,"['Drama', 'Mystery', 'Thriller']",6.8,270248367

We're the Millers,(2013),110,"['Comedy', 'Crime']",7,269994119

Gran Torino,(2008),116,['Drama'],8.1,269958228

"10,000 BC",(2008),109,"['Action', 'Adventure', 'Drama']",5.1,269784201

American Gangster,(2007),157,"['Biography', 'Crime', 'Drama']",7.8,269755430

Epic,(2013),102,"['Animation', 'Action', 'Adventure']",6.6,268426634

Exodus: Gods and Kings,(2014),150,"['Action', 'Adventure', 'Drama']",6,268175631

Blade Runner 2049,(2017),164,"['Action', 'Drama', 'Mystery']",8,267770708

Bambi,(1942),69,"['Animation', 'Adventure', 'Drama']",7.3,267447150

The Princess and the Frog,(2009),97,"['Animation', 'Adventure', 'Comedy']",7.1,267045765

Batman Returns,(1992),126,"['Action', 'Crime', 'Fantasy']",7.1,266915287

Indecent Proposal,(1993),117,"['Drama', 'Romance']",6,266614059

Something's Gotta Give,(2003),128,"['Comedy', 'Drama', 'Romance']",6.7,265328738

Bridget Jones: The Edge of Reason,(2004),108,"['Comedy', 'Drama', 'Romance']",6,265126918

The Incredible Hulk,(2008),112,"['Action', 'Adventure', 'Sci-Fi']",6.6,264770996

Waterworld,(1995),135,"['Action', 'Adventure', 'Sci-Fi']",6.3,264218220

The Truman Show,(1998),103,"['Comedy', 'Drama']",8.2,264118201

Charlie's Angels,(2000),98,"['Action', 'Adventure', 'Comedy']",5.6,264105545

The Fifth Element,(1997),126,"['Action', 'Adventure', 'Sci-Fi']",7.6,263920180

Jumanji,(1995),104,"['Adventure', 'Comedy', 'Family']",7,262821940

Gisaengchung,(2019),132,"['Drama', 'Thriller']",8.5,262676096

Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,(2006),84,['Comedy'],7.4,262552893

Robots,(2005),91,"['Animation', 'Adventure', 'Comedy']",6.4,262511490

Knight and Day,(2010),109,"['Action', 'Adventure', 'Comedy']",6.3,261989769

Total Recall,(1990),113,"['Action', 'Adventure', 'Sci-Fi']",7.5,261317921

This Is It,(2009),111,"['Documentary', 'Drama', 'Music']",7.2,261183588

Terminator: Dark Fate,(2019),128,"['Action', 'Adventure', 'Sci-Fi']",6.2,261119292

The Lone Ranger,(2013),150,"['Action', 'Adventure', 'Western']",6.4,260502115

Super 8,(2011),112,"['Action', 'Mystery', 'Sci-Fi']",7,260095986

Halloween,(I) (2018),106,"['Crime', 'Horror', 'Thriller']",6.5,259939835

Xun long jue,(2015),127,"['Action', 'Adventure', 'Drama']",5.9,259368448

Charlie's Angels: Full Throttle,(2003),106,"['Action', 'Adventure', 'Comedy']",4.9,259175788

Rush Hour 3,(2007),91,"['Action', 'Comedy', 'Crime']",6.2,258097122

The Full Monty,(1997),91,"['Comedy', 'Drama']",7.2,257938649

Gong fu yu jia,(2017),107,"['Action', 'Adventure', 'Comedy']",5.1,257753889

Annabelle,(I) (2014),99,"['Horror', 'Mystery', 'Thriller']",5.4,257589721

Encanto,(2021),102,"['Animation', 'Comedy', 'Family']",7.2,256786742

The Village,(2004),108,"['Drama', 'Mystery', 'Thriller']",6.6,256697520

Gang jiong,(2015),114,"['Action', 'Adventure', 'Comedy']",5.4,256283912

Erin Brockovich,(2000),131,"['Biography', 'Drama']",7.4,256271286

Us,(II) (2019),116,"['Horror', 'Mystery', 'Thriller']",6.8,256067149

Fei chi ren sheng,(2019),98,"['Comedy', 'Sport']",6.3,255863112

Get Out,(I) (2017),104,"['Horror', 'Mystery', 'Thriller']",7.7,255745157

